year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,33,2,1,1,3,1,3,1,1,3,4,2,3,5,19~39,middle,conservative,remained,neutral,disagree,agree,1,1,0,1,0,1,1
2003,48,3,1,1,1,1,4,1,1,1,1,5,5,2,40~59,lower,middle,reduced,strongly agree,strongly agree,strongly disagree,1,1,1,1,0,1,1
2003,52,4,2,2,2,3,3,2,3,3,3,4,5,2,40~59,lower,liberal,reduced,neutral,neutral,disagree,1,1,1,0,0,1,0
2003,56,2,2,2,1,1,1,2,2,2,3,4,4,6,40~59,middle,conservative,reduced,agree,neutral,disagree,1,1,1,1,1,1,1
2003,45,,1,1,1,1,1,1,1,5,5,1,2,5,40~59,middle,,increased,strongly disagree,strongly disagree,strongly agree,1,1,1,1,1,1,1
2003,34,3,1,2,3,1,4,1,3,4,5,4,3,4,19~39,lower,middle,remained,disagree,strongly disagree,disagree,1,1,0,1,0,1,0
2003,57,4,3,1,1,1,1,1,1,3,4,,4,6,40~59,middle,liberal,reduced,neutral,disagree,,0,1,1,1,1,1,1
2003,49,5,2,1,3,1,1,1,1,4,2,3,3,6,40~59,middle,liberal,remained,disagree,agree,neutral,1,1,0,1,1,1,1
2003,34,2,1,2,4,2,4,2,3,3,4,3,1,3,19~39,lower,conservative,increased,neutral,disagree,neutral,1,1,0,1,0,1,0
2003,40,2,1,1,1,2,3,1,3,4,4,2,2,5,19~39,middle,conservative,increased,disagree,disagree,agree,1,1,1,1,0,1,0
2003,36,3,2,3,3,2,3,3,2,3,4,3,3,5,19~39,middle,middle,remained,neutral,disagree,neutral,1,0,0,1,0,0,1
2003,22,2,3,3,3,4,4,3,3,4,3,3,4,4,19~39,lower,conservative,reduced,disagree,neutral,neutral,0,0,0,0,0,0,0
2003,32,4,1,1,2,2,3,2,2,2,3,4,4,5,19~39,middle,liberal,reduced,agree,neutral,disagree,1,1,1,1,0,1,1
2003,35,2,1,1,2,2,4,2,2,3,4,4,4,3,19~39,lower,conservative,reduced,neutral,disagree,disagree,1,1,1,1,0,1,1
2003,49,,1,2,4,2,,1,4,2,3,4,4,2,40~59,lower,,reduced,agree,neutral,disagree,1,1,0,1,0,1,0
2003,60,,3,2,3,2,3,2,3,1,1,2,3,1,40~59,lower,,remained,strongly agree,strongly agree,agree,0,1,0,1,0,1,0
2003,54,2,2,2,1,1,2,2,2,2,2,3,4,3,40~59,lower,conservative,reduced,agree,agree,neutral,1,1,1,1,1,1,1
2003,46,4,1,1,3,2,2,1,1,4,5,3,1,4,40~59,lower,liberal,increased,disagree,strongly disagree,neutral,1,1,0,1,1,1,1
2003,41,5,2,1,1,1,3,1,1,2,2,1,3,5,40~59,middle,liberal,remained,agree,agree,strongly agree,1,1,1,1,0,1,1
2003,30,2,2,2,3,3,3,2,2,2,3,3,2,3,19~39,lower,conservative,increased,agree,neutral,neutral,1,1,0,0,0,1,1
2003,85,3,2,2,2,2,2,2,2,4,4,2,3,3,60~,lower,middle,remained,disagree,disagree,agree,1,1,1,1,1,1,1
2003,37,,1,1,3,1,4,1,3,2,3,3,3,4,19~39,lower,,remained,agree,neutral,neutral,1,1,0,1,0,1,0
2003,74,4,3,1,3,1,2,1,1,2,2,2,3,7,60~,upper,liberal,remained,agree,agree,agree,0,1,0,1,1,1,1
2003,45,4,3,2,3,3,3,2,3,3,4,1,1,2,40~59,lower,liberal,increased,neutral,disagree,strongly agree,0,1,0,0,0,1,0
2003,58,2,1,1,3,1,4,1,2,2,4,2,2,3,40~59,lower,conservative,increased,agree,disagree,agree,1,1,0,1,0,1,1
2003,60,5,2,1,1,1,2,1,3,2,4,4,3,8,40~59,upper,liberal,remained,agree,disagree,disagree,1,1,1,1,1,1,0
2003,68,3,1,1,2,1,3,1,2,2,4,5,4,5,60~,middle,middle,reduced,agree,disagree,strongly disagree,1,1,1,1,0,1,1
2003,41,2,1,1,2,1,3,1,2,4,4,2,2,3,40~59,lower,conservative,increased,disagree,disagree,agree,1,1,1,1,0,1,1
2003,35,4,1,1,2,1,2,2,1,2,2,2,1,5,19~39,middle,liberal,increased,agree,agree,agree,1,1,1,1,1,1,1
2003,36,2,3,2,3,1,4,2,2,4,4,3,3,4,19~39,lower,conservative,remained,disagree,disagree,neutral,0,1,0,1,0,1,1
2003,27,3,2,2,3,1,2,1,1,4,5,2,2,5,19~39,middle,middle,increased,disagree,strongly disagree,agree,1,1,0,1,1,1,1
2003,44,4,1,1,1,1,2,1,1,2,2,2,4,4,40~59,lower,liberal,reduced,agree,agree,agree,1,1,1,1,1,1,1
2003,29,4,3,3,3,3,4,2,2,3,4,4,3,5,19~39,middle,liberal,remained,neutral,disagree,disagree,0,0,0,0,0,1,1
2003,39,4,3,3,3,3,4,3,3,4,3,3,3,4,19~39,lower,liberal,remained,disagree,neutral,neutral,0,0,0,0,0,0,0
2003,54,2,1,2,3,1,2,3,3,4,4,2,2,6,40~59,middle,conservative,increased,disagree,disagree,agree,1,1,0,1,1,0,0
2003,56,5,1,1,1,1,1,1,1,5,5,2,4,5,40~59,middle,liberal,reduced,strongly disagree,strongly disagree,agree,1,1,1,1,1,1,1
2003,31,4,2,2,2,1,3,1,2,3,3,4,3,4,19~39,lower,liberal,remained,neutral,neutral,disagree,1,1,1,1,0,1,1
2003,23,2,3,2,2,1,4,1,3,3,3,1,3,5,19~39,middle,conservative,remained,neutral,neutral,strongly agree,0,1,1,1,0,1,0
2003,42,4,1,1,1,1,3,1,1,2,1,4,4,3,40~59,lower,liberal,reduced,agree,strongly agree,disagree,1,1,1,1,0,1,1
2003,25,3,1,1,2,2,4,1,2,2,4,4,3,5,19~39,middle,middle,remained,agree,disagree,disagree,1,1,1,1,0,1,1
2003,25,2,3,3,1,2,4,2,2,2,2,4,3,7,19~39,upper,conservative,remained,agree,agree,disagree,0,0,1,1,0,1,1
2003,65,5,1,1,1,1,4,1,1,4,3,2,5,9,60~,upper,liberal,reduced,disagree,neutral,agree,1,1,1,1,0,1,1
2003,34,2,2,1,1,1,2,1,1,3,4,1,4,5,19~39,middle,conservative,reduced,neutral,disagree,strongly agree,1,1,1,1,1,1,1
2003,41,5,2,2,2,1,2,2,2,3,3,3,4,5,40~59,middle,liberal,reduced,neutral,neutral,neutral,1,1,1,1,1,1,1
2003,58,5,1,1,2,1,4,1,2,5,4,2,3,9,40~59,upper,liberal,remained,strongly disagree,disagree,agree,1,1,1,1,0,1,1
2003,44,4,2,2,2,1,2,1,1,2,2,4,4,5,40~59,middle,liberal,reduced,agree,agree,disagree,1,1,1,1,1,1,1
2003,51,4,1,1,1,1,1,1,1,2,2,4,4,4,40~59,lower,liberal,reduced,agree,agree,disagree,1,1,1,1,1,1,1
2003,50,2,1,1,1,1,1,1,1,5,1,5,5,5,40~59,middle,conservative,reduced,strongly disagree,strongly agree,strongly disagree,1,1,1,1,1,1,1
2003,58,2,2,2,2,2,3,1,2,2,3,3,4,7,40~59,upper,conservative,reduced,agree,neutral,neutral,1,1,1,1,0,1,1
2003,40,3,1,1,1,1,1,1,1,4,4,4,4,4,19~39,lower,middle,reduced,disagree,disagree,disagree,1,1,1,1,1,1,1
2003,20,4,3,3,2,2,3,1,3,4,4,3,2,6,19~39,middle,liberal,increased,disagree,disagree,neutral,0,0,1,1,0,1,0
2003,54,4,1,1,1,1,1,1,1,2,3,4,4,4,40~59,lower,liberal,reduced,agree,neutral,disagree,1,1,1,1,1,1,1
2003,18,3,2,2,1,2,3,1,1,4,4,2,2,5,,middle,middle,increased,disagree,disagree,agree,1,1,1,1,0,1,1
2003,33,4,2,2,2,1,2,1,2,4,4,3,3,6,19~39,middle,liberal,remained,disagree,disagree,neutral,1,1,1,1,1,1,1
2003,18,3,1,1,2,2,3,1,1,4,3,2,3,5,,middle,middle,remained,disagree,neutral,agree,1,1,1,1,0,1,1
2003,60,2,2,1,1,1,2,2,1,4,1,4,4,5,40~59,middle,conservative,reduced,disagree,strongly agree,disagree,1,1,1,1,1,1,1
